Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,58.6875,59.3125,56,58.28125,36.36157608,53228400
04-01-2000,56.78125,58.5625,56.125,56.3125,35.13326263,54119000
05-01-2000,55.5625,58.1875,54.6875,56.90625,35.5037117,64059600
06-01-2000,56.09375,56.9375,54.1875,55,34.31439972,54976600
07-01-2000,54.3125,56.125,53.65625,55.71875,34.76283264,62013600
10-01-2000,56.71875,56.84375,55.6875,56.125,35.01628494,44963600
11-01-2000,55.75,57.125,54.34375,54.6875,34.11944199,46743600
12-01-2000,54.25,54.4375,52.21875,52.90625,33.00810242,66532400
13-01-2000,52.1875,54.3125,50.75,53.90625,33.63201141,83144000
14-01-2000,53.59375,56.96875,52.875,56.125,35.01628494,73416400
18-01-2000,55.90625,58.25,55.875,57.65625,35.97163773,81483600
19-01-2000,55.25,55.75,53,53.5,33.37856674,97568200
20-01-2000,53.53125,54.84375,52.9375,53,33.06661606,56349800
21-01-2000,53.5,53.625,51.625,51.875,32.36471176,68416200
24-01-2000,51.8984375,52.84375,50.40625,50.625,31.58483505,63597600
25-01-2000,50.5,51.9375,49.78125,51.40625,32.0722847,59823200
26-01-2000,51.21875,51.75,49.5625,49.6875,30.99995422,49365000
27-01-2000,49.9453125,50.59375,48.625,49.375,30.80497932,63654800
28-01-2000,49.0625,50.125,48.625,49.125,30.64899254,58225400
31-01-2000,48.8125,49.09375,47.4375,48.9375,30.53202057,73194200
01-02-2000,49.25,51.625,48.84375,51.46875,32.1112709,70196600
02-02-2000,51.21875,51.96875,50.25,50.40625,31.4483757,49915600
03-02-2000,51.03125,52.09375,50.0625,51.8125,32.32572556,49186000
04-02-2000,52.1875,54,52.0703125,53.28125,33.24208069,55365400
07-02-2000,53.40625,53.4375,52.125,53.3125,33.26155853,40005800
08-02-2000,53.21875,55,53.21875,54.96875,34.29492569,56229000
09-02-2000,54.71875,54.71875,51.9375,52,32.44270706,55090000
10-02-2000,51.9453125,53.28125,51.25,53,33.06661606,54527800
11-02-2000,52.4375,52.4375,49.5625,49.96875,31.17542458,115559000
14-02-2000,50.6171875,50.875,49.53125,49.8125,31.07793236,81028600
15-02-2000,49.875,50,49.0625,49.28125,30.74649048,71027600
16-02-2000,49.625,50.09375,48.5625,48.8125,30.45402718,65202600
17-02-2000,49.25,49.84375,48.5703125,49.8125,31.07793236,80343400
18-02-2000,50,50.03125,47.4375,47.53125,29.65467072,79063000
22-02-2000,47.5625,48.5625,46.40625,46.90625,29.26473618,66296200
23-02-2000,46.75,47.875,46.03125,47.125,29.40119553,75847200
24-02-2000,47.125,47.9375,46,47.375,29.55716324,69733200
25-02-2000,47.34375,47.3515625,45.25,45.65625,28.48486328,65301400
28-02-2000,45.125,46.0625,44.0625,45.78125,28.56283569,76131800
29-02-2000,45.875,45.875,44.4375,44.6875,27.88045692,58437400
01-03-2000,44.8125,47.046875,44.46875,45.40625,28.3288784,106889800
02-03-2000,45.90625,47.6875,45.5625,46.6875,29.12825012,106932600
03-03-2000,47.375,49.4375,46.9375,48.0625,29.98612213,101435200
06-03-2000,48,48.6875,45.0625,45.3125,28.27039909,93609400
07-03-2000,48.0625,48.75,45.96875,46.4375,28.97227287,135061000
08-03-2000,46.90625,48.09375,45.5,47.78125,29.81063652,94290000
09-03-2000,47.65625,50,47.5,50,31.19490814,88198800
10-03-2000,49.78125,51.25,49.75,50.5,31.50686836,85589000
13-03-2000,48.8125,50.125,48.75,49,30.57100105,61831800
14-03-2000,49.3125,49.625,47.5625,47.5625,29.67415619,73489200
15-03-2000,47.28125,48.3125,46.84375,47.6875,29.75214958,53208000
16-03-2000,47.96875,48.34375,46.625,47.6875,29.75214958,77300800
17-03-2000,47.625,49.75,47.25,49.6875,30.99995422,81161600
20-03-2000,49.375,49.875,48.25,48.6875,30.37604332,47773000
21-03-2000,48.375,51.5625,48.25,51.375,32.05276871,81648800
22-03-2000,51.40625,52.8125,50.5625,51.625,32.20874786,93975800
23-03-2000,53.40625,56.4375,53.3125,55.9375,34.89931107,148224000
24-03-2000,56.3125,57.5,54.78125,55.84375,34.84080887,112196800
27-03-2000,53.8828125,54.125,51.96875,52.03125,32.46219635,111434000
28-03-2000,51.8125,53.71875,51.1875,52.15625,32.54018784,81114400
29-03-2000,52.59375,54.46875,52.5625,53.59375,33.43705368,64363800
30-03-2000,53.09375,54.3125,51.25,51.6875,32.24773788,64178400
31-03-2000,53,54.125,52.0625,53.125,33.14458084,64281400
03-04-2000,47.21875,48.25,45,45.4375,28.34838295,260118200
04-04-2000,45.78125,46,42.46875,44.28125,27.62699509,181244400
05-04-2000,44.125,44.25,42.9375,43.1875,26.94460678,82887600
06-04-2000,43.9375,44,42.6328125,43,26.82762146,66421400
07-04-2000,43.5,44.6875,42.5,44.53125,27.78296089,82613600
10-04-2000,44.3125,44.3125,43,43.03125,26.84710884,60685400
11-04-2000,42.5625,43.03125,41.75,41.9375,26.16472054,71961800
12-04-2000,41.0625,41.125,39.375,39.6875,24.76097298,153003800
13-04-2000,40.4375,41.125,39.5,39.625,24.72196198,94316200
14-04-2000,39.5625,39.75,36.625,37.0625,23.12322998,151217800
17-04-2000,37.125,38,36.5,37.9375,23.66914368,119772200
18-04-2000,38.25,40.96875,37.9375,40.28125,25.13140488,91794600
19-04-2000,40.71875,40.75,39.0625,39.34375,24.54649734,53715400
20-04-2000,39.3125,39.9375,38.75,39.46875,24.62447929,52387400
24-04-2000,33.625,34,32.5,33.3125,20.78360748,313645800
25-04-2000,34.375,34.75,33.8125,34.6875,21.64146614,159517400
26-04-2000,35,35.5625,33.6875,34,21.2125473,107091200
27-04-2000,33.71875,34.96875,33.6875,34.90625,21.77794456,77669800
28-04-2000,35.375,35.5,34.125,34.875,21.758461,78082600
01-05-2000,36.4375,37,35.84375,36.71875,22.90876007,107811000
02-05-2000,36.40625,36.75,34.75,34.9375,21.7974453,97716200
03-05-2000,35.1875,35.40625,34.40625,35.28125,22.01190758,55354800
04-05-2000,35.15625,35.625,34.65625,35.21875,21.97291565,43317200
05-05-2000,35.125,35.90625,34.9375,35.5625,22.18737984,36402200
08-05-2000,35.46875,35.6875,34.84375,34.90625,21.77794456,36187600
09-05-2000,35.09375,35.21875,33.75,33.90625,21.15405464,60778400
10-05-2000,33.875,33.9375,32.875,33.09375,20.64713287,67740000
11-05-2000,33.3125,34.0625,32.875,33.9375,21.17355347,58390800
12-05-2000,34.21875,34.875,34.125,34.40625,21.46600151,37886000
15-05-2000,34.5,34.71875,34,34.6875,21.64146614,33899600
16-05-2000,34.78125,35.3125,34.53125,34.75,21.6804657,48410600
17-05-2000,34.4375,34.5625,33.625,33.84375,21.11506081,53242000
18-05-2000,34.03125,34.03125,32.9375,33.09375,20.64713287,53640400
19-05-2000,32.6875,32.96875,32.25,32.53125,20.29619026,66578000
22-05-2000,32.5625,32.625,31.21875,32.09375,20.02323532,69955000
23-05-2000,31.9375,32.78125,31.53125,31.59375,19.71128654,57963200
24-05-2000,31.5625,33.28125,31.5,32.78125,20.45215988,85482400
25-05-2000,32.28125,32.375,30.5625,30.75,19.18486977,94348800
26-05-2000,31.03125,31.3125,30.1875,30.71875,19.16537285,55822000
30-05-2000,31.21875,32.0625,31,31.6875,19.7697773,68536400
31-05-2000,31.8203125,31.8515625,31.03125,31.28125,19.51632309,54968200
01-06-2000,32.1875,33,31.90625,32.28125,20.14021111,94507200
02-06-2000,33,33.375,32.5,33.15625,20.68613625,80463200
05-06-2000,33.0078125,34.1875,33,33.4375,20.86159706,64400000
06-06-2000,34.09375,34.9375,33.90625,34.8125,21.71946335,99019000
07-06-2000,34.625,35.375,33.5625,35.25,21.99241829,76310600
08-06-2000,35.78125,36.0625,34.125,34.40625,21.46600151,94765600
09-06-2000,34.8125,34.84375,34.15625,34.40625,21.46600151,35710200
12-06-2000,34.5,34.5,33.1875,33.4375,20.86159706,49260600
13-06-2000,33.375,34,33.0625,33.9375,21.17355347,44289200
14-06-2000,34.90625,35.5,34.75,35.25,21.99241829,79992400
15-06-2000,35.40625,36.34375,35.3125,36.1875,22.57731819,65592600
16-06-2000,36.3125,36.5625,35.75,36.28125,22.63580704,68710600
19-06-2000,36.28125,36.90625,36,36.84375,22.98674393,46604800
20-06-2000,36.9375,37.625,36.875,37.46875,23.37668991,62275000
21-06-2000,38.5,41.09375,38.46875,40.34375,25.17038918,160399600
22-06-2000,40.6875,41,39.65625,39.9375,24.91693687,87315200
23-06-2000,39.96875,40.03125,38.5,38.84375,24.23454094,49811600
26-06-2000,38.75,40.0625,38.75,39.75,24.7999649,48287000
27-06-2000,39.625,40.0625,39.1875,39.40625,24.58549309,31071200
28-06-2000,39.5,40.03125,39.3125,39.46875,24.62447929,37459200
29-06-2000,39.125,39.46875,38.53125,38.59375,24.07856369,38449000
30-06-2000,38.53125,40,38.34375,40,24.95593071,52356400
